t,x,y,th,v,omega,acc,gamma
27.1,53.938,90.024,0.21341,3.3066,-0.0046826,0.37124,0.48565
27.2,54.136,89.997,0.59005,3.3026,-0.8573,0.040306,0.54692
27.3,54.334,89.971,0.54003,3.3115,0.11384,-0.089491,-0.62295
27.4,54.533,89.945,0.54489,3.3464,-0.011052,-0.34871,0.080114
27.5,54.731,89.918,0.61549,3.4067,-0.1607,-0.60266,0.095996
27.6,54.929,89.892,0.43118,3.4726,0.41952,-0.65926,-0.3722
27.7,55.127,89.866,0.53334,3.5326,-0.23253,-0.60048,0.41827
27.8,55.326,89.839,0.073306,3.552,1.0471,-0.19336,-0.82086
27.9,55.524,89.813,0.49205,3.6281,-0.95314,-0.76135,1.2831
28,55.722,89.787,0.47808,3.6802,0.031793,-0.52108,-0.6318
28.1,55.921,89.761,0.4452,3.6744,0.074841,0.058261,-0.027614
28.2,56.119,89.734,0.60626,3.7393,-0.36662,-0.6489,0.28318
28.3,56.317,89.708,0.48553,3.6721,0.27481,0.67185,-0.41145
28.4,56.515,89.682,0.26821,3.6317,0.49467,0.4036,-0.14103
28.5,56.714,89.655,0.27809,3.6942,-0.022481,-0.62488,0.33173
28.6,56.912,89.629,0.23477,3.7305,0.098598,-0.36262,-0.077668
28.7,57.11,89.603,0.41867,3.69,-0.41859,0.40527,0.33176
28.8,57.308,89.576,0.31661,3.6342,0.23231,0.55796,-0.41753
28.9,57.507,89.55,0.29909,3.5663,0.039871,0.6791,0.12344
29,57.705,89.524,0.16806,3.5939,0.29827,-0.2768,-0.16575
29.1,57.903,89.498,0.35314,3.5698,-0.4213,0.24096,0.46158
29.2,58.101,89.471,0.17655,3.5165,0.40196,0.53361,-0.52809
29.3,58.3,89.445,0.028898,3.4982,0.3361,0.18232,0.042248
29.4,58.498,89.419,0.36152,3.5134,-0.75713,-0.15189,0.70126
29.5,58.696,89.392,0.43374,3.434,-0.16438,0.7942,-0.38022
29.6,58.894,89.366,0.099756,3.3396,0.76022,0.94447,-0.5931
29.7,59.093,89.34,0.4816,3.3001,-0.86916,0.39458,1.0452
29.8,59.291,89.313,0.51006,3.2783,-0.06477,0.21809,-0.51599
29.9,59.489,89.287,0.37332,3.2392,0.31124,0.39146,-0.2412
30,59.688,89.261,0.5666,3.2308,-0.43994,0.083725,0.48186
30.1,59.821,89.112,0.080741,3.1699,1.1059,0.6085,-0.99161
30.2,59.955,88.963,0.41375,3.1377,-0.758,0.32274,1.1956
30.3,60.088,88.814,0.091281,3.0809,0.73401,0.56777,-0.95707
30.4,60.222,88.666,0.33462,3.1396,-0.55388,-0.58722,0.82614
30.5,60.355,88.517,0.41494,3.182,-0.18284,-0.42408,-0.23801
30.6,60.489,88.368,0.60031,3.1544,-0.42193,0.27584,0.15337
30.7,60.623,88.219,0.20224,3.1201,0.9061,0.34326,-0.85189
30.8,60.756,88.07,0.51153,3.1323,-0.70402,-0.12162,1.0328
